"date","amount","description","type"
"05/21/2022",25000,"Disbursed 25000.0","credit"
"05/21/2022",625,"Charged interest of 625.0","credit"
"05/21/2022",750,"Charged processing fees of 750.0","credit"
"05/21/2022",135,"Charged IGST of 135.0","credit"
"05/21/2022",1510,"Deducted 1510.0","debit"
"05/22/2022",158,"Received payment of 158.0","debit"
"05/23/2022",158,"Received payment of 158.0","debit"
"05/24/2022",158,"Received payment of 158.0","debit"
"05/27/2022",474,"Received payment of 474.0","debit"
"05/28/2022",158,"Received payment of 158.0","debit"
"05/29/2022",158,"Received payment of 158.0","debit"
"05/30/2022",158,"Received payment of 158.0","debit"
"05/31/2022",158,"Received payment of 158.0","debit"
"06/01/2022",158,"Received payment of 158.0","debit"
"06/02/2022",170,"Received payment of 170.0","debit"
"06/03/2022",159,"Received payment of 159.0","debit"
"06/04/2022",159,"Received payment of 159.0","debit"
"06/05/2022",159,"Received payment of 159.0","debit"
"06/13/2022",1272,"Received payment of 1272.0","debit"
"06/15/2022",179,"Received payment of 179.0","debit"
"06/16/2022",179,"Received payment of 179.0","debit"
"06/17/2022",179,"Received payment of 179.0","debit"
"06/20/2022",625,"Charged interest of 625.0","credit"
"06/20/2022",179,"Received payment of 179.0","debit"
"06/21/2022",179,"Received payment of 179.0","debit"
"06/22/2022",179,"Received payment of 179.0","debit"
"06/23/2022",179,"Received payment of 179.0","debit"
"06/24/2022",179,"Received payment of 179.0","debit"
"06/25/2022",179,"Received payment of 179.0","debit"
"06/26/2022",179,"Received payment of 179.0","debit"
"06/27/2022",179,"Received payment of 179.0","debit"
"06/28/2022",179,"Received payment of 179.0","debit"
"06/29/2022",179,"Received payment of 179.0","debit"
"06/30/2022",179,"Received payment of 179.0","debit"
"07/01/2022",179,"Received payment of 179.0","debit"
"07/02/2022",179,"Received payment of 179.0","debit"
"07/04/2022",179,"Received payment of 179.0","debit"
"07/05/2022",179,"Received payment of 179.0","debit"
"07/06/2022",179,"Received payment of 179.0","debit"
"07/07/2022",179,"Received payment of 179.0","debit"
"07/09/2022",179,"Received payment of 179.0","debit"
"07/10/2022",179,"Received payment of 179.0","debit"
"07/11/2022",179,"Received payment of 179.0","debit"
"07/12/2022",179,"Received payment of 179.0","debit"
"07/13/2022",179,"Received payment of 179.0","debit"
"07/14/2022",179,"Received payment of 179.0","debit"
"07/15/2022",179,"Received payment of 179.0","debit"
"07/16/2022",179,"Received payment of 179.0","debit"
"07/17/2022",179,"Received payment of 179.0","debit"
"07/18/2022",179,"Received payment of 179.0","debit"
"07/19/2022",179,"Received payment of 179.0","debit"
"07/20/2022",625,"Charged interest of 625.0","credit"
"07/20/2022",179,"Received payment of 179.0","debit"
"07/21/2022",179,"Received payment of 179.0","debit"
"07/22/2022",179,"Received payment of 179.0","debit"
"07/23/2022",179,"Received payment of 179.0","debit"
"07/24/2022",179,"Received payment of 179.0","debit"
"07/25/2022",179,"Received payment of 179.0","debit"
"07/28/2022",179,"Received payment of 179.0","debit"
"08/08/2022",179,"Received payment of 179.0","debit"
"08/09/2022",179,"Received payment of 179.0","debit"
"08/10/2022",179,"Received payment of 179.0","debit"
"08/11/2022",179,"Received payment of 179.0","debit"
"08/12/2022",179,"Received payment of 179.0","debit"
"08/13/2022",179,"Received payment of 179.0","debit"
"08/14/2022",179,"Received payment of 179.0","debit"
"08/15/2022",179,"Received payment of 179.0","debit"
"08/16/2022",179,"Received payment of 179.0","debit"
"08/17/2022",179,"Received payment of 179.0","debit"
"08/18/2022",179,"Received payment of 179.0","debit"
"08/19/2022",625,"Charged interest of 625.0","credit"
"09/03/2022",179,"Received payment of 179.0","debit"
"09/04/2022",179,"Received payment of 179.0","debit"
"09/05/2022",179,"Received payment of 179.0","debit"
"09/06/2022",179,"Received payment of 179.0","debit"
"09/07/2022",179,"Received payment of 179.0","debit"
"09/08/2022",179,"Received payment of 179.0","debit"
"09/09/2022",179,"Received payment of 179.0","debit"
"09/10/2022",179,"Received payment of 179.0","debit"
"09/11/2022",179,"Received payment of 179.0","debit"
"09/12/2022",179,"Received payment of 179.0","debit"
"09/13/2022",179,"Received payment of 179.0","debit"
"09/18/2022",625,"Charged interest of 625.0","credit"
"10/18/2022",625,"Charged interest of 625.0","credit"
"11/17/2022",625,"Charged penalty of 625.0","credit"
"12/17/2022",625,"Charged penalty of 625.0","credit"
"01/16/2023",625,"Charged penalty of 625.0","credit"
"02/15/2023",625,"Charged penalty of 625.0","credit"
"03/17/2023",625,"Charged penalty of 625.0","credit"
"04/16/2023",625,"Charged penalty of 625.0","credit"
